City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description
137,Poum,NC,-20.2333,164.0167,74.97,86,25,7.29,scattered clouds
138,Pontianak,ID,-0.0333,109.3333,75.18,100,90,1.14,overcast clouds
139,Severo-Kurilsk,RU,50.6789,156.125,44.58,84,53,5.3,broken clouds
140,Port Elizabeth,ZA,-33.918,25.5701,70.09,40,0,9.22,clear sky
141,Pisco,PE,-13.7,-76.2167,68.05,73,90,8.05,overcast clouds
142,Djibo,BF,14.1022,-1.6306,106.48,14,2,4.41,clear sky
143,Cockburn Town,TC,21.4612,-71.1419,85.96,66,40,13.8,scattered clouds
144,Predivinsk,RU,57.0669,93.4378,51.98,78,84,1.41,broken clouds
145,Port Macquarie,AU,-31.4333,152.9167,47.37,89,5,4.7,clear sky
146,Bratsk,RU,56.1325,101.6142,50.49,87,99,5.19,overcast clouds
147,Muros,ES,42.7762,-9.0603,88.14,53,51,8.32,broken clouds
148,Guerrero Negro,MX,27.9769,-114.0611,74.44,53,73,2.13,broken clouds
149,Isangel,VU,-19.55,169.2667,75.31,88,27,6.29,scattered clouds
150,Vila Franca Do Campo,PT,37.7167,-25.4333,73.81,67,36,6.2,scattered clouds
151,Nikolskoye,RU,59.7035,30.7861,64.29,50,100,7.54,overcast clouds
152,Cap Malheureux,MU,-19.9842,57.6142,72.46,76,43,5.7,scattered clouds
153,Chernyshevskiy,RU,63.0128,112.4714,52.23,56,86,3.67,overcast clouds
154,Banska Bystrica,SK,48.5,19.5,67.1,78,87,3.31,overcast clouds
155,Portland,US,45.5234,-122.6762,65.01,70,75,5.99,broken clouds
156,Moanda,GA,-1.5575,13.2178,82.63,68,99,4.83,overcast clouds
157,Chaumont,FR,48.1167,5.1333,84.49,79,95,5.21,overcast clouds
158,Nome,US,64.5011,-165.4064,38.16,87,90,10.36,overcast clouds
159,Vardo,NO,70.3705,31.1107,42.78,81,75,27.63,broken clouds
160,Bluff,NZ,-46.6,168.3333,46.8,91,100,17.74,overcast clouds
161,Stornoway,GB,58.2093,-6.3865,53.92,93,75,24.16,broken clouds
162,Jesup,US,31.6074,-81.8854,94.37,46,40,8.05,scattered clouds
163,Jijiga,ET,9.35,42.8,71.56,48,96,11.61,overcast clouds
164,Udachnyy,RU,66.4167,112.4,51.76,77,59,4.74,broken clouds
165,Panaba,MX,21.2833,-88.2667,86.7,57,100,12.26,overcast clouds
166,Hit,IQ,33.6416,42.8251,92.82,15,0,14.43,clear sky
167,Eldorado,BR,-23.7869,-54.2836,74.08,43,5,4.14,clear sky
168,Puerto Ayora,EC,-0.7393,-90.3518,80.56,79,89,7.0,overcast clouds
169,Shache,CN,38.4167,77.2406,59.86,67,100,6.67,moderate rain
170,Busko-Zdroj,PL,50.4708,20.7188,72.61,67,100,3.78,overcast clouds
171,Tateyama,JP,34.9833,139.8667,73.15,88,75,3.44,light rain
172,Hilo,US,19.7297,-155.09,78.28,68,1,6.91,clear sky
173,Cairns,AU,-16.9167,145.7667,73.35,93,40,3.44,scattered clouds
174,Srednekolymsk,RU,67.45,153.6833,53.62,72,45,7.9,scattered clouds
175,Luderitz,NA,-26.6481,15.1594,60.67,71,0,2.13,clear sky
176,Tuatapere,NZ,-46.1333,167.6833,46.81,96,100,1.99,overcast clouds
177,Sinazongwe,ZM,-17.2614,27.4618,67.08,58,19,6.44,few clouds
178,Ponta Delgada,PT,37.7333,-25.6667,74.12,68,40,11.5,scattered clouds
179,Adrian,US,41.8975,-84.0372,76.59,51,75,8.01,broken clouds
180,Surt,LY,31.2089,16.5887,76.6,57,0,12.44,clear sky
181,Iqaluit,CA,63.7506,-68.5145,42.53,65,75,15.01,broken clouds
182,Quepos,CR,9.4236,-84.1652,91.06,73,72,7.25,broken clouds
183,Chuy,UY,-33.6971,-53.4616,55.13,52,18,11.7,few clouds
184,Komsomolskiy,UZ,40.4272,71.7189,74.62,28,39,9.22,scattered clouds
185,Sepolno Krajenskie,PL,53.452,17.5317,71.08,63,100,10.22,overcast clouds
186,Raga,SS,8.4596,25.678,78.89,66,57,8.25,light rain
187,Pelym,RU,61.0108,61.9978,66.45,52,11,6.93,few clouds
188,Morant Bay,JM,17.8815,-76.4093,88.63,70,32,12.1,scattered clouds
189,Muisne,EC,0.6,-80.0333,78.91,82,94,5.46,overcast clouds
190,Manta,EC,-0.95,-80.7333,78.58,78,90,4.61,overcast clouds
191,Prince Rupert,CA,54.3161,-130.3201,55.09,90,90,4.61,light rain
192,Ahipara,NZ,-35.1667,173.1667,57.74,92,14,8.25,few clouds
193,Baoning,CN,25.3378,110.026,78.66,89,40,0.0,scattered clouds
194,Kirakira,SB,-10.4544,161.9205,79.27,86,65,8.3,broken clouds
195,Nata,PA,8.3333,-80.5167,81.46,76,95,6.11,overcast clouds
196,Xichang,CN,27.8964,102.2634,70.14,91,97,2.08,heavy intensity rain
197,Bambous Virieux,MU,-20.3428,57.7575,72.21,94,40,9.22,light rain
198,Butaritari,KI,3.0707,172.7902,82.71,78,100,16.55,light rain
199,Kongolo,CD,-5.3833,27.0,78.44,35,86,3.38,overcast clouds
200,Livingston,GB,55.9029,-3.5226,63.25,61,90,11.5,overcast clouds
201,Semnan,IR,35.5729,53.3971,89.29,23,0,3.09,clear sky
202,Luganville,VU,-15.5333,167.1667,77.83,87,83,6.15,broken clouds
203,Teguise,ES,29.0605,-13.564,73.62,53,20,10.36,few clouds
204,Sao Joao Da Barra,BR,-21.6403,-41.0511,77.09,68,29,5.86,scattered clouds
205,Axim,GH,4.8699,-2.2405,81.23,75,95,10.29,overcast clouds
206,Hervey Bay,AU,-25.2986,152.8535,62.02,93,3,4.0,clear sky
207,Lagos,NG,6.5833,3.75,84.52,73,47,5.7,moderate rain
208,Altay,CN,47.8667,88.1167,57.02,54,56,6.55,broken clouds
209,North Bend,US,43.4065,-124.2243,64.94,77,90,11.5,overcast clouds
210,Half Moon Bay,US,37.4636,-122.4286,73.92,63,20,1.99,few clouds
211,Lagoa,PT,39.05,-27.9833,69.48,82,38,12.68,scattered clouds
212,Pointe Michel,DM,15.25,-61.3833,92.34,49,20,5.75,few clouds
213,Lata,PT,40.1629,-8.3327,83.48,49,51,4.12,broken clouds
214,Esil,KZ,51.9556,66.4042,75.22,33,71,6.06,broken clouds
215,Les Cayes,HT,18.2,-73.75,86.09,61,19,13.04,few clouds
216,Norman Wells,CA,65.282,-126.8329,60.84,59,20,12.66,few clouds
217,Impfondo,CG,1.6381,18.0667,83.21,56,66,3.09,light rain
218,Henties Bay,NA,-22.116,14.2845,57.85,76,100,6.13,overcast clouds
219,Nanortalik,GL,60.1432,-45.2371,37.9,88,100,7.25,overcast clouds
220,Kamenka,RU,51.3223,42.7678,66.04,88,76,3.83,broken clouds
221,Asfi,MA,32.2994,-9.2372,67.23,77,53,9.37,broken clouds
222,Panama City,PA,8.9936,-79.5197,88.93,67,40,9.22,scattered clouds
223,Tiksi,RU,71.6872,128.8694,36.12,65,9,8.39,clear sky
224,Nizwa,OM,22.9333,57.5333,100.38,11,5,10.04,clear sky
225,Leh,IN,34.1667,77.5833,56.64,27,100,5.91,overcast clouds
226,Yumen,CN,40.2833,97.2,59.72,29,40,11.83,scattered clouds
227,Oystese,NO,60.3882,6.1925,56.57,69,95,4.43,overcast clouds
228,Mugur-Aksy,RU,50.35,90.5,46.06,66,67,2.04,broken clouds
229,Pontes E Lacerda,BR,-15.2261,-59.3353,92.48,32,13,4.74,few clouds
230,Oudtshoorn,ZA,-33.5907,22.2014,57.56,78,83,5.03,broken clouds
231,Port Augusta,AU,-32.5,137.7667,47.71,73,1,10.36,clear sky
232,Khatanga,RU,71.9667,102.5,60.73,69,16,2.1,light rain
233,Mitu,CO,1.1983,-70.1733,75.6,94,100,4.76,overcast clouds
234,Solnechnyy,RU,50.7214,136.6319,56.35,73,91,6.17,overcast clouds
235,Noumea,NC,-22.2763,166.4572,72.0,99,91,5.53,overcast clouds
236,Kavieng,PG,-2.5744,150.7967,82.15,77,26,13.11,scattered clouds
237,La Libertad,EC,-2.2333,-80.9,80.26,69,0,4.61,clear sky
238,Usinsk,RU,65.9939,57.5281,60.84,52,12,10.67,few clouds
239,Westport,US,41.1415,-73.3579,81.86,68,75,1.99,broken clouds
240,Haines Junction,CA,60.7522,-137.5108,53.55,76,86,2.3,overcast clouds
241,Sisimiut,GL,66.9395,-53.6735,38.01,81,99,10.8,overcast clouds
242,Taltal,CL,-25.4,-70.4833,60.6,73,97,3.49,overcast clouds
243,Cabedelo,BR,-6.9811,-34.8339,84.87,77,77,10.8,broken clouds
244,Piacabucu,BR,-10.4056,-36.4344,79.57,69,91,9.51,overcast clouds
245,Ilebo,CD,-4.3167,20.5833,79.57,38,86,1.32,overcast clouds
246,Rudbar,AF,30.15,62.6,93.06,8,0,25.77,clear sky
247,Auki,SB,-8.7676,160.7034,77.25,89,37,3.65,scattered clouds
248,Vitim,RU,59.4511,112.5578,51.12,96,100,0.56,overcast clouds
249,Cumpas,MX,29.9833,-109.7833,100.99,18,3,4.61,clear sky
250,Rocha,UY,-34.4833,-54.3333,52.56,69,80,11.63,broken clouds
251,Hereford,GB,52.0568,-2.7148,74.8,38,74,8.12,broken clouds
252,Moguer,ES,37.2756,-6.8385,80.89,61,82,10.0,broken clouds
253,Alice Springs,AU,-23.7,133.8833,44.15,57,81,6.91,broken clouds
254,Turukhansk,RU,65.8167,87.9833,60.4,84,99,12.35,light rain
255,Talwara,IN,31.9486,75.8667,81.77,59,100,8.68,overcast clouds
256,Saint George,US,37.1041,-113.5841,106.27,10,1,1.01,clear sky
257,Suez,EG,29.9737,32.5263,76.66,50,0,17.87,clear sky
258,Otjimbingwe,NA,-22.35,16.1333,66.0,21,76,7.0,broken clouds
259,Klyuchi,RU,52.2667,79.1667,61.75,81,89,2.48,light rain
260,Ust-Barguzin,RU,53.45,108.9833,41.18,99,99,6.29,light rain
261,Husavik,IS,66.0449,-17.3389,42.71,63,85,16.96,overcast clouds
262,Sao Jose Do Egito,BR,-7.4789,-37.2744,83.66,44,94,11.86,overcast clouds
263,Fallon,US,39.4735,-118.7774,82.92,24,1,3.44,clear sky
264,Opunake,NZ,-39.4556,173.8583,52.63,86,27,10.0,scattered clouds
265,Mabaruma,GY,8.2,-59.7833,83.17,73,51,6.31,broken clouds
266,Kroonstad,ZA,-27.6504,27.2349,57.22,35,99,5.77,overcast clouds
267,Hanzhong,CN,33.0728,107.0303,74.05,92,91,1.16,overcast clouds
268,Hays,US,30.0502,-98.0336,94.82,52,1,3.0,clear sky
269,Nishihara,JP,26.1842,127.7558,82.06,100,75,18.41,broken clouds
270,Patacamaya,BO,-17.2333,-67.9167,53.28,36,9,11.92,clear sky
271,Sao Joao De Pirabas,BR,-0.7747,-47.1772,80.74,88,59,8.23,broken clouds
272,Sakaiminato,JP,35.55,133.2333,69.78,100,90,12.66,overcast clouds
273,Saint-Augustin,CA,51.226,-58.6502,53.13,75,99,12.35,overcast clouds
274,Walvis Bay,NA,-22.9575,14.5053,63.55,67,90,4.61,overcast clouds
275,San Cristobal,VE,7.7669,-72.225,73.58,69,52,6.11,broken clouds
276,Souillac,MU,-20.5167,57.5167,72.36,94,40,9.22,scattered clouds
277,Teya,RU,60.3778,92.6267,51.06,96,99,3.65,overcast clouds
278,Klamath Falls,US,42.2249,-121.7817,61.86,56,75,5.01,broken clouds
279,Brest,BY,52.1,23.7,64.85,81,100,6.29,overcast clouds
280,Merrill,US,45.1805,-89.6835,74.05,52,40,8.05,scattered clouds
281,Dhidhdhoo,MV,6.8833,73.1,82.92,76,77,19.53,broken clouds
282,Praya,CV,14.9215,-23.5087,81.14,57,75,16.11,broken clouds
283,Kushiro,JP,42.975,144.3747,49.95,90,92,6.67,overcast clouds
284,Aleksandrov Gay,RU,50.147,48.5704,73.99,50,63,10.36,broken clouds
285,Pierre,US,44.3683,-100.351,85.12,32,1,5.01,clear sky
286,Camacha,PT,33.0833,-16.3333,72.54,73,40,14.97,scattered clouds
287,Kahului,US,20.8947,-156.47,72.68,72,1,5.75,clear sky
288,Guadalupe Y Calvo,MX,26.1,-106.9667,79.3,19,50,7.25,scattered clouds
289,Port Blair,IN,11.6667,92.75,82.49,83,100,19.3,heavy intensity rain
290,Oberstdorf,DE,47.4,10.2833,79.11,75,72,3.56,broken clouds
291,Coihaique,CL,-45.5752,-72.0662,35.71,86,40,5.75,scattered clouds
292,Port Hawkesbury,CA,45.6169,-61.3485,69.75,77,20,11.99,few clouds
293,Murgab,TM,37.4966,61.9714,82.27,34,0,4.61,clear sky
294,Chicama,PE,-7.8447,-79.1469,70.34,65,18,11.23,few clouds
295,Avera,US,33.194,-82.5271,92.7,34,28,11.03,scattered clouds
296,Kalmunai,LK,7.4167,81.8167,81.36,68,78,8.23,broken clouds
297,Roald,NO,62.5833,6.1333,51.17,66,75,12.66,broken clouds
298,Kismayo,SO,-0.3582,42.5454,77.49,73,85,16.37,overcast clouds
299,Berwick,US,41.0545,-76.2333,75.34,68,41,9.06,scattered clouds
300,Acu,BR,-5.5767,-36.9086,98.42,41,99,6.24,overcast clouds
301,Swellendam,ZA,-34.0226,20.4417,52.18,76,49,3.09,scattered clouds
302,Goure,NE,13.9835,10.2704,100.02,20,20,14.72,few clouds
303,Sao Filipe,CV,14.8961,-24.4956,74.43,81,76,5.08,broken clouds
304,Villamontes,BO,-21.25,-63.5,67.44,68,90,5.75,overcast clouds
305,Roebourne,AU,-20.7833,117.1333,70.03,29,98,9.62,overcast clouds
306,Ulaangom,MN,49.9811,92.0667,55.17,42,32,0.27,scattered clouds
307,Clyde River,CA,70.4692,-68.5914,46.63,66,40,6.91,scattered clouds
308,Kenai,US,60.5544,-151.2583,64.02,75,1,12.66,clear sky
309,Puerto Suarez,BO,-18.95,-57.8,89.96,58,40,4.61,scattered clouds
310,Rafaela,AR,-31.2503,-61.4867,59.05,41,40,5.01,scattered clouds
311,Witu,KE,-2.3889,40.4382,78.96,73,69,13.82,broken clouds
312,Okitipupa,NG,6.5047,4.7839,77.7,87,98,3.91,light rain
313,Preobrazheniye,RU,42.9019,133.9064,50.4,95,17,6.85,few clouds
314,Sitka,US,57.0531,-135.33,55.29,82,90,10.36,light rain
315,Marfino,RU,55.7028,37.3822,73.54,79,75,2.24,light rain
316,Touros,BR,-5.1989,-35.4608,86.9,69,83,12.86,broken clouds
317,Saint-Georges,GD,12.0564,-61.7485,87.48,66,20,21.85,few clouds
318,Kitimat,CA,54.0524,-128.6534,52.18,72,100,3.09,light rain
319,Gat,IL,31.61,34.7642,75.88,28,0,8.34,clear sky
320,Lodwar,KE,3.1191,35.5973,88.2,36,79,9.64,broken clouds
321,Terrace,CA,54.5163,-128.6035,51.71,93,90,4.61,light rain
322,Castanos,MX,26.7833,-101.4167,83.34,60,40,8.05,scattered clouds
323,Homer,US,59.6425,-151.5483,66.07,80,20,9.22,few clouds
324,Ucluelet,CA,48.9329,-125.5528,59.95,92,36,8.88,scattered clouds
325,Fairbanks,US,64.8378,-147.7164,70.48,50,1,3.44,clear sky
326,Cabo San Lucas,MX,22.8909,-109.9124,98.51,69,40,10.36,scattered clouds
327,Namatanai,PG,-3.6667,152.4333,78.42,82,62,7.36,broken clouds
328,Ashdod,IL,31.8167,34.65,77.29,72,0,7.78,clear sky
329,Charters Towers,AU,-20.1,146.2667,66.52,97,69,8.79,broken clouds
330,Deputatskiy,RU,69.3,139.9,32.99,70,77,15.41,broken clouds
331,Wladyslawowo,PL,54.7909,18.4009,63.95,73,25,11.88,scattered clouds
332,Kalabo,ZM,-14.97,22.6814,62.15,28,23,2.3,few clouds
333,Kruisfontein,ZA,-34.0033,24.7314,62.29,59,98,12.59,light rain
334,Hokitika,NZ,-42.7167,170.9667,53.08,92,99,2.01,overcast clouds
335,Rabo De Peixe,PT,37.8,-25.5833,72.91,68,40,11.5,scattered clouds
336,Kahramanmaras,TR,38.0,37.0,63.23,74,0,8.08,clear sky
337,Arlit,NE,18.7369,7.3853,99.01,8,0,7.61,clear sky
338,Belle Fourche,US,44.6714,-103.8522,99.09,22,10,15.88,clear sky
339,Puerto Colombia,CO,10.9878,-74.9547,83.44,75,100,8.05,overcast clouds
340,Chokurdakh,RU,70.6333,147.9167,35.85,69,100,18.25,overcast clouds
341,Llanes,ES,43.4198,-4.7549,75.02,82,1,6.29,clear sky
342,Xining,CN,36.6167,101.7667,53.73,93,100,4.23,overcast clouds
343,Andapa,MG,-14.65,49.65,63.7,98,32,3.24,scattered clouds
344,Laguna,US,38.421,-121.4238,82.62,42,1,1.01,clear sky
345,Otane,NZ,-39.8833,176.6333,55.38,91,8,2.62,clear sky
346,Nyurba,RU,63.2842,118.3319,48.92,92,16,2.77,few clouds
347,Okha,RU,53.5739,142.9478,50.88,79,88,15.3,overcast clouds
348,Airai,TL,-8.9266,125.4092,59.5,95,76,2.26,broken clouds
349,Wonthaggi,AU,-38.6044,145.5913,55.71,84,93,8.46,overcast clouds
