City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description
80,Vestmannaeyjar,IS,63.4427,-20.2734,43.41,70,100,4.56,light rain
81,Iznoski,RU,54.9881,35.3108,55.65,96,7,4.74,clear sky
82,Oranjemund,NA,-28.55,16.4333,58.21,75,31,4.61,scattered clouds
83,Jiangkou,CN,25.4872,119.1986,82.29,84,100,7.76,overcast clouds
84,Tuktoyaktuk,CA,69.4541,-133.0374,69.8,37,20,17.27,few clouds
85,Yellowknife,CA,62.456,-114.3525,72.12,43,75,14.97,broken clouds
86,Talnakh,RU,69.4865,88.3972,51.08,79,83,10.8,broken clouds
87,Georgetown,MY,5.4112,100.3354,78.73,93,20,1.99,few clouds
88,Sile,TR,41.1754,29.6133,63.27,68,70,3.0,broken clouds
89,Karratha,AU,-20.7377,116.8463,67.3,39,100,18.52,overcast clouds
90,Mataura,NZ,-46.1927,168.8643,48.47,95,100,0.69,overcast clouds
91,Huarmey,PE,-10.0681,-78.1522,67.48,84,42,9.78,scattered clouds
92,Saskylakh,RU,71.9167,114.0833,63.82,56,27,8.99,scattered clouds
93,Hovd,MN,48.0056,91.6419,55.87,34,2,1.32,clear sky
94,Jacksonville Beach,US,30.2947,-81.3931,76.01,81,90,3.0,light rain
95,Santa Isabel Do Rio Negro,BR,-0.4139,-65.0192,72.84,98,90,3.02,light rain
96,Capari,MK,41.0561,21.1783,47.14,84,28,3.4,scattered clouds
97,Fiumicino,IT,41.7675,12.2291,71.15,86,0,4.61,clear sky
98,Puerto Ayora,EC,-0.7393,-90.3518,74.55,85,3,5.01,clear sky
99,Arraial Do Cabo,BR,-22.9661,-42.0278,58.96,67,0,2.3,clear sky
100,Usinsk,RU,65.9939,57.5281,55.49,57,99,18.03,overcast clouds
101,Sao Filipe,CV,14.8961,-24.4956,73.63,85,83,4.38,broken clouds
102,Dikson,RU,73.5069,80.5464,31.1,93,48,9.46,scattered clouds
103,Calabozo,VE,8.9242,-67.4293,79.93,68,60,2.84,broken clouds
104,San Patricio,US,28.017,-97.5169,95.09,59,11,10.89,few clouds
105,Peniche,PT,39.3558,-9.3811,68.72,94,33,5.46,scattered clouds
106,Husavik,IS,66.0449,-17.3389,39.11,73,99,13.91,overcast clouds
107,Jalu,LY,29.0331,21.5482,77.14,34,0,13.51,clear sky
108,Charters Towers,AU,-20.1,146.2667,71.26,85,97,9.78,overcast clouds
109,Salalah,OM,17.0151,54.0924,84.29,84,8,6.91,clear sky
