City_ID,City,Country,Max Temp,Weather Description,Lat,Lng,Hotel Name
247,Kanigoro,ID,75.31,few clouds,-8.13,112.219,Musafer Villa ( Villa Erlin )
249,Lorengau,PG,82.67,few clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
252,Anloga,GH,82.62,light rain,5.7947,0.8973,Pin Drop Hotel
253,San Policarpo,PH,82.94,broken clouds,12.1791,125.5072,JM Lodge
254,Abnub,EG,77.22,clear sky,27.2696,31.1511,Romany Adly Gad
255,Linqiong,CN,80.78,overcast clouds,30.4159,103.4609,Tianlun Tanxianglou Hotel
256,Marsh Harbour,BS,81.73,overcast clouds,26.5412,-77.0636,Abaco Beach Resort
260,Padilla,CO,76.57,scattered clouds,3.2204,-76.3139,La Granadina
261,Cartagena,CO,83.82,scattered clouds,10.3997,-75.5144,Hotel Colombia Real - Cartagena
269,Caramay,PH,84.29,scattered clouds,10.1815,119.236,Peace and Love Beach Club
270,Boyolangu,ID,77.25,scattered clouds,-8.1181,111.8935,Yos ega cv
271,Vaitape,PF,80.62,light rain,-16.5167,-151.75,Conrad Bora Bora Nui
272,Kottagudem,IN,77.92,overcast clouds,17.55,80.6333,Hotel Surya Palace
274,Barinas,VE,76.24,broken clouds,8.6226,-70.2075,Hotel Mastranto Suite
281,Along,IN,75.74,overcast clouds,28.1667,94.7667,Hotel West
283,Dalbandin,PK,79.34,clear sky,28.8947,64.4101,Sanjrani House
285,Matara,LK,78.01,broken clouds,5.9485,80.5353,Amaloh Boutique Resort
289,Mongo,TD,82.54,broken clouds,12.1844,18.693,Résidences du Programme FIDA
290,Flin Flon,CA,80.44,few clouds,54.7682,-101.865,Victoria Inn Flin Flon
295,Muisne,EC,76.68,light rain,0.6,-80.0333,Quinta Samay
296,Hobyo,SO,77.43,overcast clouds,5.3505,48.5268,Halane Hotel and Restaurent
307,Sarangani,PH,83.05,overcast clouds,5.4033,125.4636,Ballistic Islet
308,Bilma,NE,89.13,clear sky,18.6853,12.9164,Expeditions Ténére voyages
309,Tarakan,ID,78.3,light rain,3.3,117.6333,RedDoorz Syariah near Taman Berlabuh Tarakan
314,Jingdezhen,CN,81.48,light rain,29.2947,117.2079,Garden Hotel
317,Birao,CF,79.68,overcast clouds,10.2849,22.7882,Garden Hotel
323,Puerto Parra,CO,78.78,broken clouds,6.6515,-74.0573,Brisas del Carare
325,Shancheng,CN,76.15,overcast clouds,34.7953,116.0817,Shanxian Golden Dragon Hotel
329,Port-Gentil,GA,80.56,few clouds,-0.7193,8.7815,Fengshui Residence
333,Hamilton,US,78.64,broken clouds,39.1834,-84.5333,Six Acres Bed & Breakfast
335,Chotila,IN,87.26,broken clouds,22.4167,71.1833,Hotel Honest
340,Purwodadi,ID,78.51,overcast clouds,-7.0868,110.9158,OYO 1620 Sion Family Residence
